rank,slug,title,devpost_url,stage,leverage,execution,impact,creativity,aggregate,confidence,webmcp_verification,adjudication,screenshot
692,research-audit-workbench,Research Audit Workbench,https://devpost.com/software/research-audit-workbench,S1,8.0,8.5,8.5,8.0,33.0,0.835,UNVERIFIED,,screenshots/research-audit-workbench.png
693,scanwebmcp-com,ScanWebMCP.com,https://devpost.com/software/scanwebmcp-com,S1,8.0,8.5,8.5,8.0,33.0,0.875,UNVERIFIED,,screenshots/scanwebmcp-com.png
694,tabby-d3ic48,Tabby: Collaborative Expense Splitting powered by WebMCP,https://devpost.com/software/tabby-d3ic48,S1,8.0,8.5,8.5,8.0,33.0,0.875,UNVERIFIED,,screenshots/tabby-d3ic48.png
695,2030mcp-linkup,2030MCP LinkUp,https://devpost.com/software/2030mcp-linkup,S1R,8,8,9,8,33,0.9,UNVERIFIED,,screenshots/2030mcp-linkup.png
696,312deals-tonight,312Deals: Tonight,https://devpost.com/software/312deals-tonight,S1R,8,8,9,8,33,0.55,UNVERIFIED,,screenshots/312deals-tonight.png
697,acrobat-webmcp-toolkit,DoPDF with WebMCP,https://devpost.com/software/acrobat-webmcp-toolkit,S1R,8,8,9,8,33,0.86,UNVERIFIED,,screenshots/acrobat-webmcp-toolkit.png
698,actgex-human-controlled-ai-actions,ActGeX — Human-Controlled AI Actions,https://devpost.com/software/actgex-human-controlled-ai-actions,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/actgex-human-controlled-ai-actions.png
699,aegis-operations,Aegis Operations,https://devpost.com/software/aegis-operations,S1R,8,8,9,8,33,0.68,UNVERIFIED,,screenshots/aegis-operations.png
700,agent-ready-business-with-webmcp,The Website That Speaks AI,https://devpost.com/software/agent-ready-business-with-webmcp,S1R,8,8,9,8,33,0.86,UNVERIFIED,,screenshots/agent-ready-business-with-webmcp.png
701,agentfence,AgentFence,https://devpost.com/software/agentfence,S1R,8,8,9,8,33,0.78,UNVERIFIED,,screenshots/agentfence.png
702,agentops-command-center,AgentOps Command Center,https://devpost.com/software/agentops-command-center,S1R,8,8,9,8,33,0.81,UNVERIFIED,,screenshots/agentops-command-center.png
703,agentpress,AgentPress,https://devpost.com/software/agentpress,S1R,8,8,9,8,33,0.85,UNVERIFIED,,screenshots/agentpress.png
704,betatrace,Betatrace,https://devpost.com/software/betatrace,S1R,8,8,9,8,33,0.86,UNVERIFIED,,screenshots/betatrace.png
705,budget-bench,Budget Bench,https://devpost.com/software/budget-bench,S1R,8,8,9,8,33,0.82,UNVERIFIED,,screenshots/budget-bench.png
706,canvasmind-26osxu,CanvasMind,https://devpost.com/software/canvasmind-26osxu,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/canvasmind-26osxu.png
707,care-watchdesk-webmcp,Care Command Center + WebMCP,https://devpost.com/software/care-watchdesk-webmcp,S1R,8,8,9,8,33,0.83,UNVERIFIED,,screenshots/care-watchdesk-webmcp.png
708,careercompass-i9qe2p,CareerCompassAI,https://devpost.com/software/careercompass-i9qe2p,S1R,8,8,9,8,33,0.88,UNVERIFIED,,screenshots/careercompass-i9qe2p.png
709,careportal,CarePortal,https://devpost.com/software/careportal,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/careportal.png
710,cargomesh,CargoMesh,https://devpost.com/software/cargomesh,S1R,8,8,9,8,33,0.85,UNVERIFIED,,screenshots/cargomesh.png
711,changegate,ChangeGate Project,https://devpost.com/software/changegate,S1R,8,8,9,8,33,0.87,UNVERIFIED,,screenshots/changegate.png
712,classsignal-tu8dm4,ClassSignal,https://devpost.com/software/classsignal-tu8dm4,S1R,8,8,9,8,33,0.83,UNVERIFIED,,screenshots/classsignal-tu8dm4.png
713,cliffcheck,Cliffcheck,https://devpost.com/software/cliffcheck,S2,8.0,8.0,9.0,8.0,33.0,0.86,REPO_VERIFIED,,screenshots/cliffcheck.png
714,co-cart,Co-Cart,https://devpost.com/software/co-cart,S1R,8,8,9,8,33,0.86,UNVERIFIED,,screenshots/co-cart.png
715,codepath-73kuzp,CodePath,https://devpost.com/software/codepath-73kuzp,S1R,8,8,9,8,33,0.78,UNVERIFIED,,screenshots/codepath-73kuzp.png
716,common-table-4gj9ny,Common Table,https://devpost.com/software/common-table-4gj9ny,S1R,8,8,9,8,33,0.87,UNVERIFIED,,screenshots/common-table-4gj9ny.png
717,cutoff,Cutoff,https://devpost.com/software/cutoff,S1R,8,8,9,8,33,0.9,UNVERIFIED,,screenshots/cutoff.png
718,dayflow-hrms-the-agent-drafts-the-human-commits,Dayflow,https://devpost.com/software/dayflow-hrms-the-agent-drafts-the-human-commits,S1R,8,8,9,8,33,0.82,UNVERIFIED,,screenshots/dayflow-hrms-the-agent-drafts-the-human-commits.png
719,decisionchange-os,ChangeFrame,https://devpost.com/software/decisionchange-os,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/decisionchange-os.png
720,degreelume,DegreeLume Assistant,https://devpost.com/software/degreelume,S1R,8,8,9,8,33,0.88,UNVERIFIED,,screenshots/degreelume.png
721,dependency-war-room,Dependency War Room,https://devpost.com/software/dependency-war-room,S1R,8,8,9,8,33,0.82,UNVERIFIED,,screenshots/dependency-war-room.png
722,discoveryhub,DiscoveryHub,https://devpost.com/software/discoveryhub,S1R,8,8,9,8,33,0.87,UNVERIFIED,,screenshots/discoveryhub.png
723,domhamster,DOMHamster,https://devpost.com/software/domhamster,S1R,8,8,9,8,33,0.85,UNVERIFIED,,screenshots/domhamster.png
724,evidenceflow-human-agent-incident-investigation,EvidenceFlow — Human-Agent Incident Investigation,https://devpost.com/software/evidenceflow-human-agent-incident-investigation,S1R,8,8,9,8,33,0.86,UNVERIFIED,,screenshots/evidenceflow-human-agent-incident-investigation.png
725,family-stay-compiler,Family Stay Compiler,https://devpost.com/software/family-stay-compiler,S1R,8,8,9,8,33,0.87,UNVERIFIED,,screenshots/family-stay-compiler.png
726,firebro,Firebro,https://devpost.com/software/firebro,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/firebro.png
727,firenow,FireNow,https://devpost.com/software/firenow,S1R,8,8,9,8,33,0.86,UNVERIFIED,,screenshots/firenow.png
728,food-disclosure,Label Check,https://devpost.com/software/food-disclosure,S1R,8,8,9,8,33,0.87,UNVERIFIED,,screenshots/food-disclosure.png
729,formulate-j1287l,Formulate,https://devpost.com/software/formulate-j1287l,S1R,8,8,9,8,33,0.68,UNVERIFIED,,screenshots/formulate-j1287l.png
730,formwork,Formwork,https://devpost.com/software/formwork,S1R,8,8,9,8,33,0.87,UNVERIFIED,,screenshots/formwork.png
731,front-desk-xyo91i,Front Desk,https://devpost.com/software/front-desk-xyo91i,S1R,8,8,9,8,33,0.87,UNVERIFIED,,screenshots/front-desk-xyo91i.png
732,future-doors,Future Doors,https://devpost.com/software/future-doors,S1R,8,8,9,8,33,0.79,UNVERIFIED,,screenshots/future-doors.png
733,generative-learning,Generative Learning,https://devpost.com/software/generative-learning,S1R,8,8,9,8,33,0.85,UNVERIFIED,,screenshots/generative-learning.png
734,ghostwriter-wkcjqb,EmailBooster,https://devpost.com/software/ghostwriter-wkcjqb,S1R,8,8,9,8,33,0.85,UNVERIFIED,,screenshots/ghostwriter-wkcjqb.png
735,grounded-389n56,Grounded - Collaborative AI Workspace for Construction,https://devpost.com/software/grounded-389n56,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/grounded-389n56.png
736,henryknows-webmcp,HenryKnows Special Agent,https://devpost.com/software/henryknows-webmcp,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/henryknows-webmcp.png
737,keep-it-offline,Keep It Offline,https://devpost.com/software/keep-it-offline,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/keep-it-offline.png
738,kodi-agent-native-tax-workspace,Kodi: Agent-Native Tax Workspace,https://devpost.com/software/kodi-agent-native-tax-workspace,S1R,8,8,9,8,33,0.8,UNVERIFIED,,screenshots/kodi-agent-native-tax-workspace.png
739,linelab-rehearse-the-rush,LineLab — Rehearse the Rush,https://devpost.com/software/linelab-rehearse-the-rush,S1R,8,8,9,8,33,0.87,UNVERIFIED,,screenshots/linelab-rehearse-the-rush.png
740,loadguard-3d,LoadGuard 3D,https://devpost.com/software/loadguard-3d,S1R,8,8,9,8,33,0.85,UNVERIFIED,,screenshots/loadguard-3d.png
741,mausam,Mausam,https://devpost.com/software/mausam,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/mausam.png
742,mermail,Mermail,https://devpost.com/software/mermail,S1R,8,8,9,8,33,0.82,UNVERIFIED,,screenshots/mermail.png
743,my-calendar-planner,My Calendar Planner,https://devpost.com/software/my-calendar-planner,S1R,8,8,9,8,33,0.9,UNVERIFIED,,screenshots/my-calendar-planner.png
744,netspectre-human-led-cyber-investigation,NetSpectre — Human-Led Cyber Investigation,https://devpost.com/software/netspectre-human-led-cyber-investigation,S1R,8,8,9,8,33,0.87,UNVERIFIED,,screenshots/netspectre-human-led-cyber-investigation.png
745,offroof-e6kdr9,Offroof,https://devpost.com/software/offroof-e6kdr9,S1R,8,8,9,8,33,0.89,UNVERIFIED,,screenshots/offroof-e6kdr9.png
746,openagent-ledger,OpenAgent Ledger,https://devpost.com/software/openagent-ledger,S1R,8,8,9,8,33,0.82,UNVERIFIED,,screenshots/openagent-ledger.png
747,openappeal,OpenAppeal,https://devpost.com/software/openappeal,S1R,8,8,9,8,33,0.86,UNVERIFIED,,screenshots/openappeal.png
748,openassist-daily-workspace,OpenAssist Daily Workspace,https://devpost.com/software/openassist-daily-workspace,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/openassist-daily-workspace.png
749,opendoor-access,OpenDoor Access,https://devpost.com/software/opendoor-access,S1R,8,8,9,8,33,0.87,UNVERIFIED,,screenshots/opendoor-access.png
750,opsrelay-z2lcnh,OpsRelay,https://devpost.com/software/opsrelay-z2lcnh,S1R,8,8,9,8,33,0.87,UNVERIFIED,,screenshots/opsrelay-z2lcnh.png
751,orgmemory-ngmewz,Orgmemory,https://devpost.com/software/orgmemory-ngmewz,S1R,8,8,9,8,33,0.82,UNVERIFIED,,screenshots/orgmemory-ngmewz.png
752,outcome-network,Outcome Network,https://devpost.com/software/outcome-network,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/outcome-network.png
753,paperpilot-qidwys,PaperPilot,https://devpost.com/software/paperpilot-qidwys,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/paperpilot-qidwys.png
754,part-ner,PART / NER,https://devpost.com/software/part-ner,S1R,8,8,9,8,33,0.82,UNVERIFIED,,screenshots/part-ner.png
755,plot-vyrc2b,PLOT,https://devpost.com/software/plot-vyrc2b,S1R,8,8,9,8,33,0.88,UNVERIFIED,,screenshots/plot-vyrc2b.png
756,pocket-change-0jglh4,Pocket Change,https://devpost.com/software/pocket-change-0jglh4,S1R,8,8,9,8,33,0.82,UNVERIFIED,,screenshots/pocket-change-0jglh4.png
757,project-y79pb23hj1mz,Kyoto Booking Retry Proof,https://devpost.com/software/project-y79pb23hj1mz,S1R,8,8,9,8,33,0.89,UNVERIFIED,,screenshots/project-y79pb23hj1mz.png
758,prompt-injection-red-team-playground,ToolTrap - a WebMCP prompt-injection playground,https://devpost.com/software/prompt-injection-red-team-playground,S1R,8,8,9,8,33,0.81,UNVERIFIED,,screenshots/prompt-injection-red-team-playground.png
759,proofpilot-g12fb3,ProofPilot,https://devpost.com/software/proofpilot-g12fb3,S1R,8,8,9,8,33,0.79,UNVERIFIED,,screenshots/proofpilot-g12fb3.png
760,quillprint-webmcp-add-on,QuillPrint | WebMCP Add-On,https://devpost.com/software/quillprint-webmcp-add-on,S1R,8,8,9,8,33,0.86,UNVERIFIED,,screenshots/quillprint-webmcp-add-on.png
761,re-pair,RE:PAIR,https://devpost.com/software/re-pair,S1R,8,8,9,8,33,0.82,UNVERIFIED,,screenshots/re-pair.png
762,readycounter,ReadyCounter,https://devpost.com/software/readycounter,S1R,8,8,9,8,33,0.82,UNVERIFIED,,screenshots/readycounter.png
763,relay-safe-shift-handoffs-via-webmcp,Relay — Safe Shift Handoffs via WebMCP,https://devpost.com/software/relay-safe-shift-handoffs-via-webmcp,S1R,8,8,9,8,33,0.83,UNVERIFIED,,screenshots/relay-safe-shift-handoffs-via-webmcp.png
764,respira-safe-webmcp-site-tools-for-any-wordpress-site,Respira: safe WebMCP site tools for any WordPress site,https://devpost.com/software/respira-safe-webmcp-site-tools-for-any-wordpress-site,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/respira-safe-webmcp-site-tools-for-any-wordpress-site.png
765,reviewline,Reviewline,https://devpost.com/software/reviewline,S1R,8,8,9,8,33,0.83,UNVERIFIED,,screenshots/reviewline.png
766,rhythm-pshl1n,Rhythm,https://devpost.com/software/rhythm-pshl1n,S1R,8,8,9,8,33,0.83,UNVERIFIED,,screenshots/rhythm-pshl1n.png
767,roya-ai-film-production-manager,ROYA | رؤية — AI Film Production Manager,https://devpost.com/software/roya-ai-film-production-manager,S1R,8,8,9,8,33,0.82,UNVERIFIED,,screenshots/roya-ai-film-production-manager.png
768,safeshare-ky18bw,SafeShare,https://devpost.com/software/safeshare-ky18bw,S1R,8,8,9,8,33,0.86,UNVERIFIED,,screenshots/safeshare-ky18bw.png
769,safestaff-shift-commander-webmcp,SafeStaff Shift Commander — WebMCP,https://devpost.com/software/safestaff-shift-commander-webmcp,S2,8.0,8.0,9.0,8.0,33.0,0.92,VERIFIED_RUNTIME,,screenshots/safestaff-shift-commander-webmcp.png
770,scholarship-scout,Scholarship Scout,https://devpost.com/software/scholarship-scout,S1R,8,8,9,8,33,0.75,UNVERIFIED,,screenshots/scholarship-scout.png
771,second-serve-fvab39,Second Serve,https://devpost.com/software/second-serve-fvab39,S1R,8,8,9,8,33,0.89,UNVERIFIED,,screenshots/second-serve-fvab39.png
772,sheshat,Sheshat,https://devpost.com/software/sheshat,S1R,8,8,9,8,33,0.76,UNVERIFIED,,screenshots/sheshat.png
773,shopfront-copilot,Shopfront Copilot,https://devpost.com/software/shopfront-copilot,S1R,8,8,9,8,33,0.85,UNVERIFIED,,screenshots/shopfront-copilot.png
774,shopify-catalog-health-copilot,Shopify Catalog Health Copilot,https://devpost.com/software/shopify-catalog-health-copilot,S1R,8,8,9,8,33,0.85,UNVERIFIED,,screenshots/shopify-catalog-health-copilot.png
775,signwise-ie5qxr,SignWise,https://devpost.com/software/signwise-ie5qxr,S1R,8,8,9,8,33,0.86,UNVERIFIED,,screenshots/signwise-ie5qxr.png
776,sky-to-porch,Sky to Porch,https://devpost.com/software/sky-to-porch,S1R,8,8,9,8,33,0.9,UNVERIFIED,,screenshots/sky-to-porch.png
777,spacio,Spacio,https://devpost.com/software/spacio,S1R,8,8,9,8,33,0.83,UNVERIFIED,,screenshots/spacio.png
778,stockpilot-x2lwgb,StockPilot,https://devpost.com/software/stockpilot-x2lwgb,S1R,8,8,9,8,33,0.82,UNVERIFIED,,screenshots/stockpilot-x2lwgb.png
779,sweet-spot-ecpuwb,Sweet Spot,https://devpost.com/software/sweet-spot-ecpuwb,S1R,8,8,9,8,33,0.85,UNVERIFIED,,screenshots/sweet-spot-ecpuwb.png
780,talli,Talli,https://devpost.com/software/talli,S1R,8,8,9,8,33,0.8,UNVERIFIED,,screenshots/talli.png
781,tangible-coding-studio-mission-builder,Tangible Coding Studio: Mission Builder,https://devpost.com/software/tangible-coding-studio-mission-builder,S1R,8,8,9,8,33,0.86,UNVERIFIED,,screenshots/tangible-coding-studio-mission-builder.png
782,the-line-list,The Line List,https://devpost.com/software/the-line-list,S1R,8,8,9,8,33,0.81,UNVERIFIED,,screenshots/the-line-list.png
783,tokuchu,Tokuchu,https://devpost.com/software/tokuchu,S1R,8,8,9,8,33,0.87,UNVERIFIED,,screenshots/tokuchu.png
784,traceai-ai-handwriting-coach-powered-by-webmcp,TRACEAI — AI Handwriting Coach powered by WebMCP,https://devpost.com/software/traceai-ai-handwriting-coach-powered-by-webmcp,S1R,8,8,9,8,33,0.79,UNVERIFIED,,screenshots/traceai-ai-handwriting-coach-powered-by-webmcp.png
785,treetree,TreeTree,https://devpost.com/software/treetree,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/treetree.png
786,utlovat-se-compare-politics-with-me,webmcp.utlovat.se — Non-Partisan Election Fact-Checking,https://devpost.com/software/utlovat-se-compare-politics-with-me,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/utlovat-se-compare-politics-with-me.png
787,wardround,WardRound,https://devpost.com/software/wardround,S1R,8,8,9,8,33,0.85,UNVERIFIED,,screenshots/wardround.png
788,watch-floor,WATCH//FLOOR,https://devpost.com/software/watch-floor,S1R,8,8,9,8,33,0.9,UNVERIFIED,,screenshots/watch-floor.png
789,web-mcp-consent,Web MCP Consent,https://devpost.com/software/web-mcp-consent,S1R,8,8,9,8,33,0.84,UNVERIFIED,,screenshots/web-mcp-consent.png
790,a-f80hps,PARALLAX,https://devpost.com/software/a-f80hps,S1R,8,8,8,9,33,0.86,UNVERIFIED,,screenshots/a-f80hps.png
791,aetherdraw,AetherDraw,https://devpost.com/software/aetherdraw,S1R,8,8,8,9,33,0.85,UNVERIFIED,,screenshots/aetherdraw.png
792,aimural,AIMural,https://devpost.com/software/aimural,S1R,8,8,8,9,33,0.86,UNVERIFIED,,screenshots/aimural.png
793,casefile-1p9h7s,CaseFile,https://devpost.com/software/casefile-1p9h7s,S1R,8,8,8,9,33,0.84,UNVERIFIED,,screenshots/casefile-1p9h7s.png
794,claimready-fy4toi,ClaimReady,https://devpost.com/software/claimready-fy4toi,S1R,8,8,8,9,33,0.86,UNVERIFIED,,screenshots/claimready-fy4toi.png
795,companion-5hrj83,Companion,https://devpost.com/software/companion-5hrj83,S1R,8,8,8,9,33,0.81,UNVERIFIED,,screenshots/companion-5hrj83.png
796,counterask-5osmu0,Counterask,https://devpost.com/software/counterask-5osmu0,S1R,8,8,8,9,33,0.85,UNVERIFIED,,screenshots/counterask-5osmu0.png
797,cutlet,Cutlet,https://devpost.com/software/cutlet,S1R,8,8,8,9,33,0.87,UNVERIFIED,,screenshots/cutlet.png
798,doodleduo,doodleduo,https://devpost.com/software/doodleduo,S1R,8,8,8,9,33,0.85,UNVERIFIED,,screenshots/doodleduo.png
799,duet-ai-should-create-art-with-you-not-instead-of-you,DUET,https://devpost.com/software/duet-ai-should-create-art-with-you-not-instead-of-you,S1R,8,8,8,9,33,0.86,UNVERIFIED,,screenshots/duet-ai-should-create-art-with-you-not-instead-of-you.png
800,finite-witness,Finite Witness,https://devpost.com/software/finite-witness,S1R,8,8,8,9,33,0.85,UNVERIFIED,,screenshots/finite-witness.png
801,gotothearchive,gotothearchive,https://devpost.com/software/gotothearchive,S1,8.0,8.0,8.0,9.0,33.0,0.845,UNVERIFIED,,screenshots/gotothearchive.png
802,great-adventure-engine,Grand Adventure Engine,https://devpost.com/software/great-adventure-engine,S1R,8,8,8,9,33,0.83,UNVERIFIED,,screenshots/great-adventure-engine.png
803,maptruth,MapTruth,https://devpost.com/software/maptruth,S1R,8,8,8,9,33,0.82,UNVERIFIED,,screenshots/maptruth.png
804,meant,Meant,https://devpost.com/software/meant,S1,8.0,8.0,8.0,9.0,33.0,0.825,UNVERIFIED,,screenshots/meant.png
805,memory-canvas,memory-canvas,https://devpost.com/software/memory-canvas,S1R,8,8,8,9,33,0.7,UNVERIFIED,,screenshots/memory-canvas.png
806,minimal-protocol-witness,Minimal Protocol Witness,https://devpost.com/software/minimal-protocol-witness,S1R,8,8,8,9,33,0.86,UNVERIFIED,,screenshots/minimal-protocol-witness.png
807,olfaria-crystal-atlas-neural-erdos,Olfaria Crystal Atlas Neural Erdos,https://devpost.com/software/olfaria-crystal-atlas-neural-erdos,S1R,8,8,8,9,33,0.86,UNVERIFIED,,screenshots/olfaria-crystal-atlas-neural-erdos.png
808,one-trip-win,ONE TRIP WIN,https://devpost.com/software/one-trip-win,S1R,8,8,8,9,33,0.86,UNVERIFIED,,screenshots/one-trip-win.png
809,open-dots,Open Dots,https://devpost.com/software/open-dots,S1R,8,8,8,9,33,0.83,UNVERIFIED,,screenshots/open-dots.png
810,openmemoz,OpenMemoz,https://devpost.com/software/openmemoz,S1R,8,8,8,9,33,0.84,UNVERIFIED,,screenshots/openmemoz.png
811,origami-gratis,Origami Gratis,https://devpost.com/software/origami-gratis,S1R,8,8,8,9,33,0.85,UNVERIFIED,,screenshots/origami-gratis.png
812,playable-arena,Playable Arena,https://devpost.com/software/playable-arena,S1R,8,8,8,9,33,0.86,UNVERIFIED,,screenshots/playable-arena.png
813,repairmcp,OpenRepair,https://devpost.com/software/repairmcp,S1R,8,8,8,9,33,0.87,UNVERIFIED,,screenshots/repairmcp.png
814,sonicviz,Sonicviz,https://devpost.com/software/sonicviz,S1R,8,8,8,9,33,0.8,UNVERIFIED,,screenshots/sonicviz.png
815,storyforge-9yefiu,Storyforge,https://devpost.com/software/storyforge-9yefiu,S1R,8,8,8,9,33,0.81,UNVERIFIED,,screenshots/storyforge-9yefiu.png
816,study-map-9ezvia,Study Map,https://devpost.com/software/study-map-9ezvia,S1R,8,8,8,9,33,0.86,UNVERIFIED,,screenshots/study-map-9ezvia.png
817,supperclub-ai,SupperClub AI,https://devpost.com/software/supperclub-ai,S1R,8,8,8,9,33,0.87,UNVERIFIED,,screenshots/supperclub-ai.png
818,webmcp-design-studio,WebMCP Design Studio,https://devpost.com/software/webmcp-design-studio,S1R,8,8,8,9,33,0.87,UNVERIFIED,,screenshots/webmcp-design-studio.png
819,whiteboard-web-mcp,whiteboard-web-mcp,https://devpost.com/software/whiteboard-web-mcp,S1R,8,8,8,9,33,0.88,UNVERIFIED,,screenshots/whiteboard-web-mcp.png
820,xingyu-zodiac,SafeGuard,https://devpost.com/software/xingyu-zodiac,S1R,8,8,8,9,33,0.86,UNVERIFIED,,screenshots/xingyu-zodiac.png
821,fitcheck-jqvxyr,FitCheck,https://devpost.com/software/fitcheck-jqvxyr,S1,8.0,7.5,9.0,8.5,33.0,0.81,UNVERIFIED,,screenshots/fitcheck-jqvxyr.png
822,chenchess-live-coaching-board,ChenChess live coaching board,https://devpost.com/software/chenchess-live-coaching-board,S1R,8,7,9,9,33,0.8,UNVERIFIED,,screenshots/chenchess-live-coaching-board.png
823,hyphosphere-follow-the-infowar-market,Weaponised Ecommerce: The Hyphosphere Observatory,https://devpost.com/software/hyphosphere-follow-the-infowar-market,S1R,8,7,9,9,33,0.79,UNVERIFIED,,screenshots/hyphosphere-follow-the-infowar-market.png
824,smarterboard-gjpmfq,Smarterboard,https://devpost.com/software/smarterboard-gjpmfq,S1R,8,7,9,9,33,0.79,UNVERIFIED,,screenshots/smarterboard-gjpmfq.png
825,track-record-webmcp,Track Record WebMCP - Human-Gated AI for Public Procurement,https://devpost.com/software/track-record-webmcp,S1R,8,7,9,9,33,0.8,UNVERIFIED,,screenshots/track-record-webmcp.png
826,attic-eq1hor,Attic,https://devpost.com/software/attic-eq1hor,S1R,7,8,9,9,33,0.84,UNVERIFIED,,screenshots/attic-eq1hor.png
827,infinite-canvas-agent-design-lab,Infinite Canvas — Agent Design Lab,https://devpost.com/software/infinite-canvas-agent-design-lab,S1,9.5,6.0,8.0,9.0,32.5,0.645,UNVERIFIED,,screenshots/infinite-canvas-agent-design-lab.png
828,rotaproof,RotaProof,https://devpost.com/software/rotaproof,S2,9.5,5.5,9.0,8.5,32.5,0.88,CLAIM_ONLY,,screenshots/rotaproof.png
829,jupyterlite-webmcp,JupyterLite WebMCP,https://devpost.com/software/jupyterlite-webmcp,S2,9.5,5.5,8.5,9.0,32.5,0.92,CLAIM_ONLY,,screenshots/jupyterlite-webmcp.png
830,dojo-n1fm6c,Dojo,https://devpost.com/software/dojo-n1fm6c,S2,9.5,5.0,8.0,10.0,32.5,0.88,VIDEO_VERIFIED,,screenshots/dojo-n1fm6c.png
831,vouchsafe-v5toyl,Vouchsafe,https://devpost.com/software/vouchsafe-v5toyl,S2,9.5,3.5,9.5,10.0,32.5,0.89,CLAIM_ONLY,,screenshots/vouchsafe-v5toyl.png
832,nullrun,.nullRun,https://devpost.com/software/nullrun,S1,9.0,7.5,7.0,9.0,32.5,0.76,UNVERIFIED,,screenshots/nullrun.png
833,adaptab,AdapTab,https://devpost.com/software/adaptab,S2,9.0,7.0,8.5,8.0,32.5,0.82,VERIFIED_RUNTIME,,screenshots/adaptab.png
834,open-web-concierge,Open Web Concierge,https://devpost.com/software/open-web-concierge,S1,9.0,7.0,8.0,8.5,32.5,0.745,UNVERIFIED,,screenshots/open-web-concierge.png
835,dusky,Dusky,https://devpost.com/software/dusky,S1,9.0,7.0,7.5,9.0,32.5,0.69,UNVERIFIED,,screenshots/dusky.png
836,exposure-incident-zero,EXPOSURE // INCIDENT ZERO,https://devpost.com/software/exposure-incident-zero,S2,9.0,6.5,9.0,8.0,32.5,0.865,CLAIM_ONLY,,screenshots/exposure-incident-zero.png
837,tessera-36h4k0,Tessera,https://devpost.com/software/tessera-36h4k0,S2,9.0,6.5,8.5,8.5,32.5,0.855,VERIFIED_RUNTIME,,screenshots/tessera-36h4k0.png
838,univ-deploy,UNIV Deploy,https://devpost.com/software/univ-deploy,S2,9.0,6.0,8.5,9.0,32.5,0.91,VERIFIED_RUNTIME,,screenshots/univ-deploy.png
839,alphax-ls2y54,AlphaX,https://devpost.com/software/alphax-ls2y54,S2,9.0,5.5,9.0,9.0,32.5,0.835,CLAIM_ONLY,,screenshots/alphax-ls2y54.png
840,heatline-6gkc1s,Heatline,https://devpost.com/software/heatline-6gkc1s,S2,9.0,5.5,9.0,9.0,32.5,0.905,VIDEO_VERIFIED,,screenshots/heatline-6gkc1s.png
841,ladder-qvyzpe,Ladder,https://devpost.com/software/ladder-qvyzpe,S2,9.0,5.5,9.0,9.0,32.5,0.875,VIDEO_VERIFIED,,screenshots/ladder-qvyzpe.png
842,ledgerrehearsal,LedgerRehearsal,https://devpost.com/software/ledgerrehearsal,S2,9.0,5.5,9.0,9.0,32.5,0.89,VIDEO_VERIFIED,,screenshots/ledgerrehearsal.png
843,jobbbler,Jobbbler,https://devpost.com/software/jobbbler,S2,8.5,8.5,8.0,7.5,32.5,0.89,VERIFIED_RUNTIME,,screenshots/jobbbler.png
844,queplan-x-webmcp-a-real-insurance-comparator-agent-ready,"QuePlan × WebMCP — a real insurance comparator, agent-ready",https://devpost.com/software/queplan-x-webmcp-a-real-insurance-comparator-agent-ready,S2,8.5,8.5,8.0,7.5,32.5,0.91,VERIFIED_RUNTIME,,screenshots/queplan-x-webmcp-a-real-insurance-comparator-agent-ready.png
845,study-with-your-agent,Study With Your Agent,https://devpost.com/software/study-with-your-agent,S2,8.5,8.5,8.0,7.5,32.5,0.87,VERIFIED_RUNTIME,,screenshots/study-with-your-agent.png
846,pagepatch,PagePatch,https://devpost.com/software/pagepatch,S1,8.5,8.0,8.0,8.0,32.5,0.8,UNVERIFIED,,screenshots/pagepatch.png
847,pricemcp,PriceMCP,https://devpost.com/software/pricemcp,S2,8.5,8.0,8.0,8.0,32.5,0.915,VERIFIED_RUNTIME,,screenshots/pricemcp.png
848,bingus,Sushi Daw,https://devpost.com/software/bingus,S2,8.5,8.0,7.5,8.5,32.5,0.86,VERIFIED_RUNTIME,,screenshots/bingus.png
849,maybe-c2xm0r,Maybe,https://devpost.com/software/maybe-c2xm0r,S1,8.5,8.0,7.0,9.0,32.5,0.795,UNVERIFIED,,screenshots/maybe-c2xm0r.png
850,the-intent-horizon,The Intent Horizon,https://devpost.com/software/the-intent-horizon,S2,8.5,8.0,7.0,9.0,32.5,0.895,VERIFIED_RUNTIME,,screenshots/the-intent-horizon.png
